,SlideName,ScanName,ROILabel,SegmentLabel,SegmentDisplayName,Sample_ID,AOISurfaceArea,AOINucleiCount,ROICoordinateX,ROICoordinateY,RawReads,TrimmedReads,StitchedReads,AlignedReads,DeduplicatedReads,SequencingSaturation,UMIQ30,RTSQ30,disease_status,pathology,region,LOQ,NormalizationFactor
34,disease3,disease3_scan,41,Geometric Segment,disease3_scan | 041 | Geometric Segment,DSP-1001250007851-H-C12,21286.7786,135,27403,-55508,783415,775715,769511,735930,128166,83.64008859,0.9936,0.9929,DKD,abnormal,glomerulus,5.593230046,2.154626183
35,disease3,disease3_scan,42,Geometric Segment,disease3_scan | 042 | Geometric Segment,DSP-1001250007851-H-D01,23064.56344,153,29422,-57474,1202229,1189993,1179787,1129322,118920,90.1083737,0.9932,0.9925,DKD,abnormal,glomerulus,5.698448861,2.154626183
36,disease3,disease3_scan,43,Geometric Segment,disease3_scan | 043 | Geometric Segment,DSP-1001250007851-H-D02,10588.60009,69,24139,-50976,1114118,1104287,1095312,1038927,104768,90.59632822,0.9938,0.9931,DKD,abnormal,glomerulus,6.271783064,2.4624299240000003
37,disease3,disease3_scan,44,Geometric Segment,disease3_scan | 044 | Geometric Segment,DSP-1001250007851-H-D03,23902.13636,152,25666,-49717,3782447,3752988,3724434,3550832,314051,91.69714738,0.9945,0.9938,DKD,abnormal,glomerulus,17.53271286,0.907211025
38,disease3,disease3_scan,45,Geometric Segment,disease3_scan | 045 | Geometric Segment,DSP-1001250007851-H-D04,27538.8812,177,23147,-28398,3281757,3257861,3234058,3089707,303053,90.76552591,0.9948,0.9941,DKD,abnormal,glomerulus,16.88308711,0.9576116370000001
39,disease3,disease3_scan,46,Geometric Segment,disease3_scan | 046 | Geometric Segment,DSP-1001250007851-H-D05,13586.59472,99,21760,-28676,2627887,2605097,2584564,2467340,221470,91.57231647,0.9941,0.9933,DKD,abnormal,glomerulus,15.71512209,1.2312149620000001
40,disease3,disease3_scan,47,Geometric Segment,disease3_scan | 047 | Geometric Segment,DSP-1001250007851-H-D06,15162.651969999999,109,24697,-29623,2706732,2662857,2628343,2504089,274934,89.84258508,0.9914,0.9898,DKD,abnormal,glomerulus,14.93215866,1.013941733
41,disease3,disease3_scan,48,Geometric Segment,disease3_scan | 048 | Geometric Segment,DSP-1001250007851-H-D07,21049.869730000002,140,22825,-30310,3759056,3724698,3693770,3509901,362424,90.35864323,0.9940000000000001,0.9933,DKD,abnormal,glomerulus,19.70785704,0.78350043
42,disease3,disease3_scan,49,Geometric Segment,disease3_scan | 049 | Geometric Segment,DSP-1001250007851-H-D08,16106.73706,120,29203,-35578,2747832,2721299,2698161,2580030,266304,90.30857782,0.9937,0.9926,DKD,abnormal,glomerulus,14.14071026,1.077313092
43,disease3,disease3_scan,50,Geometric Segment,disease3_scan | 050 | Geometric Segment,DSP-1001250007851-H-D09,19138.62193,133,30404,-35913,2610379,2586703,2559156,2453269,263122,89.92016102,0.9939,0.9933,DKD,abnormal,glomerulus,16.18773459,1.077313092
44,disease3,disease3_scan,51,Geometric Segment,disease3_scan | 051 | Geometric Segment,DSP-1001250007851-H-D10,21682.971569999998,152,31800,-35784,4008351,3975272,3943401,3785450,338101,91.56508499,0.9941,0.9933,DKD,abnormal,glomerulus,15.82132259,0.820809975
45,disease3,disease3_scan,52,Geometric Segment,disease3_scan | 052 | Geometric Segment,DSP-1001250007851-H-D11,22306.22911,165,31869,-38266,4463474,4430372,4395367,4217987,352283,92.10742574,0.9948,0.9940000000000001,DKD,abnormal,glomerulus,18.83760052,0.78350043
46,disease3,disease3_scan,53,Geometric Segment,disease3_scan | 053 | Geometric Segment,DSP-1001250007851-H-D12,17138.29122,118,32016,-39890,2761426,2734680,2709627,2596687,283057,89.74960763,0.9939,0.9932,DKD,abnormal,glomerulus,14.54090941,1.013941733
47,disease4,disease4_scan,1,PanCK,disease4_scan | 001 | PanCK,DSP-1001250007851-H-E01,23053.26669,155,25496,-45188,3466160,3433496,3406559,3262250,330250,90.47216516,0.9936,0.9928,DKD,,tubule,17.16149459,0.9576116370000001
48,disease4,disease4_scan,1,neg,disease4_scan | 001 | neg,DSP-1001250007851-H-E02,137927.2803,426,25496,-45188,15930693,15798541,15665879,14880916,1404059,91.18645372,0.9948,0.9941,DKD,,tubule,62.84436179,0.22680275600000002
49,disease4,disease4_scan,2,PanCK,disease4_scan | 002 | PanCK,DSP-1001250007851-H-E03,17553.527280000002,108,23402,-51249,3060563,3034382,3009966,2877343,299829,90.20346909999999,0.9944,0.9936,DKD,,tubule,14.96296787,1.077313092
50,disease4,disease4_scan,2,neg,disease4_scan | 002 | neg,DSP-1001250007851-H-E04,123467.4473,403,23402,-51249,8112055,8041913,7978476,7582256,934471,88.48046518,0.9944,0.9937,DKD,,tubule,46.38905021,0.331480951
51,disease4,disease4_scan,3,PanCK,disease4_scan | 003 | PanCK,DSP-1001250007851-H-E05,22011.86822,204,34558,-42808,4086853,4057917,4028501,3845688,348249,91.47879799,0.9948,0.9941,DKD,,tubule,19.3542892,0.820809975
52,disease4,disease4_scan,3,neg,disease4_scan | 003 | neg,DSP-1001250007851-H-E06,209925.6296,590,34558,-42808,13768154,13667392,13567220,12893478,1237730,91.01019643,0.995,0.9943,DKD,,tubule,60.71589678,0.257268798
53,disease4,disease4_scan,4,PanCK,disease4_scan | 004 | PanCK,DSP-1001250007851-H-E07,17157.172919999997,134,24087,-28215,2662038,2640193,2618942,2495772,253064,90.49359926,0.9945,0.9938,DKD,,tubule,16.41249321,1.149133965
54,disease4,disease4_scan,4,neg,disease4_scan | 004 | neg,DSP-1001250007851-H-E08,145616.813,353,24087,-28215,9456874,9387441,9319693,8855099,889919,90.58971284,0.9948,0.9941,DKD,,tubule,52.03046455,0.337980578
55,disease4,disease4_scan,5,PanCK,disease4_scan | 005 | PanCK,DSP-1001250007851-H-E09,10254.21645,84,24160,-16457,1177532,1166366,1157185,1103670,121849,89.65217081,0.9939,0.9932,DKD,,tubule,9.669601163,2.154626183
56,disease4,disease4_scan,5,neg,disease4_scan | 005 | neg,DSP-1001250007851-H-E10,105417.6701,335,24160,-16457,4885075,4824665,4779769,4550728,527242,89.20708485,0.9926,0.9913,DKD,,tubule,27.26219266,0.574566982
57,disease4,disease4_scan,6,PanCK,disease4_scan | 006 | PanCK,DSP-1001250007851-H-E11,34076.46868,206,37293,-36082,5126797,5087429,5048039,4841395,427425,91.66292326,0.9946,0.9939,DKD,,tubule,19.35880909,0.689480379
58,disease4,disease4_scan,6,neg,disease4_scan | 006 | neg,DSP-1001250007851-H-E12,137743.3048,391,37293,-36082,5959545,5915995,5873279,5613940,586861,90.15258715,0.9948,0.9941,DKD,,tubule,31.4385,0.506970867
59,disease4,disease4_scan,7,Geometric Segment,disease4_scan | 007 | Geometric Segment,DSP-1001250007851-H-F01,74627.74722,326,30294,-55255,6428345,6379305,6330820,6024493,556641,91.340835,0.9947,0.9940000000000001,DKD,healthy,glomerulus,35.56779819,0.538656546
60,disease4,disease4_scan,8,Geometric Segment,disease4_scan | 008 | Geometric Segment,DSP-1001250007851-H-F02,56775.663120000005,203,32113,-37448,4785984,4741095,4704084,4505398,479714,89.97669027,0.9937,0.9929,DKD,healthy,glomerulus,28.01603924,0.6156074810000001
61,disease4,disease4_scan,9,Geometric Segment,disease4_scan | 009 | Geometric Segment,DSP-1001250007851-H-F03,80786.89375,266,31184,-21668,5424391,5375860,5331459,5113977,488508,90.99423327,0.9941,0.9934,DKD,healthy,glomerulus,31.54903054,0.5943796370000001
62,disease4,disease4_scan,10,Geometric Segment,disease4_scan | 010 | Geometric Segment,DSP-1001250007851-H-F04,42607.60882,189,38045,-51375,2636446,2610523,2587230,2471812,255288,90.31696458,0.9936,0.9925,DKD,healthy,glomerulus,17.97602465,1.077313092
63,disease4,disease4_scan,11,Geometric Segment,disease4_scan | 011 | Geometric Segment,DSP-1001250007851-H-F05,71246.79294,315,37198,-48387,5634059,5580216,5534892,5292954,518355,90.79961711,0.9937,0.9931,DKD,healthy,glomerulus,30.79620366,0.5560325629999999
64,disease4,disease4_scan,12,Geometric Segment,disease4_scan | 012 | Geometric Segment,DSP-1001250007851-H-F06,48856.64516,182,28543,-44836,5370062,5332353,5291452,5061073,475680,91.14200171,0.995,0.9943,DKD,healthy,glomerulus,28.55064829,0.6156074810000001
65,disease4,disease4_scan,13,Geometric Segment,disease4_scan | 013 | Geometric Segment,DSP-1001250007851-H-F07,65511.435710000005,289,37243,-45780,6839271,6776665,6725069,6427451,594568,91.30655884,0.9939,0.9932,DKD,abnormal,glomerulus,32.935587100000006,0.506970867
66,disease4,disease4_scan,14,Geometric Segment,disease4_scan | 014 | Geometric Segment,DSP-1001250007851-H-F08,19972.48306,86,32810,-38637,694121,688778,683752,653538,183294,73.59336485,0.9943,0.9936,DKD,abnormal,glomerulus,12.75770265,1.567000861
67,disease4,disease4_scan,15,Geometric Segment,disease4_scan | 015 | Geometric Segment,DSP-1001250007851-H-F09,44778.52036,171,23277,-33551,5665702,5622366,5581926,5342972,465787,91.77882988,0.9944,0.9937,DKD,abnormal,glomerulus,30.60494841,0.6156074810000001
68,disease4,disease4_scan,16,Geometric Segment,disease4_scan | 016 | Geometric Segment,DSP-1001250007851-H-F10,20051.72165,111,33941,-49525,1673124,1656199,1642341,1565703,162178,90.30687504,0.9937,0.993,DKD,abnormal,glomerulus,12.70730986,1.723700947
69,disease4,disease4_scan,17,Geometric Segment,disease4_scan | 017 | Geometric Segment,DSP-1001250007851-H-F11,51298.35581,187,34923,-51488,4905523,4859249,4817956,4598182,321811,93.43982283,0.9938,0.993,DKD,abnormal,glomerulus,24.49909315,0.861850473
70,disease4,disease4_scan,18,Geometric Segment,disease4_scan | 018 | Geometric Segment,DSP-1001250007851-H-F12,29210.7994,107,26189,-10603,1681321,1667084,1654091,1586748,151572,90.98494577,0.9941,0.9933,DKD,abnormal,glomerulus,12.11333866,1.9152232740000001
71,normal3,normal3_scan,1,PanCK,normal3_scan | 001 | PanCK,DSP-1001250007864-D-A02,20265.55289,223,24658,-24538,3358935,3333329,3303955,3169018,419182,87.52038965,0.9949,0.9943,normal,,tubule,17.43449285,0.662961903
72,normal3,normal3_scan,1,neg,normal3_scan | 001 | neg,DSP-1001250007864-D-A03,91483.61982,450,24658,-24538,5149518,5096156,5046768,4810145,797716,84.50891909,0.9939,0.9932,normal,,tubule,31.498052100000002,0.374717597
73,normal3,normal3_scan,2,PanCK,normal3_scan | 002 | PanCK,DSP-1001250007864-D-A04,12966.08068,133,25404,-18258,1727404,1713003,1700055,1632358,240515,86.07650555,0.9942,0.9934,normal,,tubule,10.21522336,1.149133965
74,normal3,normal3_scan,2,neg,normal3_scan | 002 | neg,DSP-1001250007864-D-A05,133866.4234,499,25404,-18258,5262758,5213562,5175092,4870492,1030517,80.41868921,0.9937,0.9931,normal,,tubule,42.82923887,0.302403675
75,normal3,normal3_scan,3,PanCK,normal3_scan | 003 | PanCK,DSP-1001250007864-D-A06,23336.814980000003,195,5669,-35254,2163275,2145722,2129456,2035419,313094,85.52685165,0.9944,0.9938,normal,,tubule,15.71897795,0.907211025
76,normal3,normal3_scan,3,neg,normal3_scan | 003 | neg,DSP-1001250007864-D-A07,174741.5958,457,5669,-35254,6265561,6218544,6171994,5796420,809264,87.0839339,0.9948,0.9941,normal,,tubule,39.98722011,0.391750215
